,date,India,Germany,Italy,France,Russia,Germany_fitted,Italy_fitted,France_fitted,India_fitted,Russia_fitted
15,2020-05-05,49400.0,163860.0,213013.0,172140.0,155370.0,2196.2101240714414,203611.92697146937,13408.594698668296,40522.00702221455,112627.97923523128
16,2020-05-06,52987.0,164807.0,214457.0,176276.0,165929.0,1461.1624392362796,204991.68990806022,9940.733969444622,42676.75634844734,119007.49348617796
17,2020-05-07,56351.0,166091.0,215858.0,177017.0,177160.0,971.6417834683917,206354.52270022585,7359.373328744284,44943.71218918867,125686.95754046332
18,2020-05-08,59695.0,167300.0,217185.0,177548.0,187859.0,645.9067346498246,207699.94532902451,5442.681920975003,47328.46070886216,132673.43529578313
19,2020-05-09,62808.0,168551.0,218268.0,178076.0,198676.0,429.2771475581036,209027.48678708536,4022.109894073239,49836.838480573395,139973.33508172567
20,2020-05-10,67161.0,169218.0,219070.0,178325.0,209688.0,285.26085621708796,210336.6824128758,2970.648086893522,52474.94075412422,147592.30483259913
21,2020-05-11,70768.0,169575.0,219814.0,178640.0,221344.0,189.54152802667377,211627.07766326985,2193.153532029395,55249.12953997236,155535.12307679892
22,2020-05-12,74292.0,170508.0,221216.0,179393.0,232243.0,125.93270517433507,212898.22543810293,1618.6564526030277,58166.041739866545,163805.58703967876
23,2020-05-13,78055.0,171306.0,222104.0,179914.0,242271.0,83.6669739052467,214149.6877791255,1194.3811363124541,61232.596900770215,172406.3993608383
24,2020-05-14,81997.0,172239.0,223096.0,180556.0,252245.0,55.584949789585956,215381.03724272992,881.1694092431604,64456.00494477851,181339.05412134784
25,2020-05-15,85784.0,173152.0,223885.0,181069.0,262843.0,36.92769110716354,216591.85552207654,650.0144049350424,67843.77341505597,190603.7244000262
26,2020-05-16,90648.0,173772.0,224760.0,181484.0,272043.0,24.53249001385478,217781.7345525267,479.4546654093364,71403.71445171416,200199.15362644405
27,2020-05-17,95698.0,174355.0,225435.0,181624.0,281752.0,16.297743529172934,218950.27665828847,353.62532792944353,75143.95131128792,210122.5507373008
28,2020-05-18,100328.0,174697.0,225886.0,182068.0,290678.0,10.827069337219163,220097.0956444696,260.8062398503819,79072.92420259799,220369.4961060544
29,2020-05-19,106475.0,175210.0,226699.0,182569.0,299941.0,7.192713408888564,221221.81705608734,192.34325510947176,83199.39574522716,230933.85321274702
30,2020-05-20,112028.0,176007.0,227364.0,183050.0,308705.0,4.778301299591846,222324.076477362,141.84839282652365,87532.45528873621,241807.6952344143
31,2020-05-21,118226.0,176752.0,228006.0,183317.0,317554.0,3.1743411487452184,223403.5215421087,104.60763375810694,92081.5227782016,252981.24473804233
32,2020-05-22,124794.0,177212.0,228658.0,184073.0,326448.0,2.1087893399852464,224459.8122403489,77.14291943364219,96856.35122477739,264442.8310509536
33,2020-05-23,131423.0,177850.0,229327.0,184619.0,335882.0,1.4009172558434857,225492.6205093471,56.88845533598744,101867.02889132602,276178.8660801587
34,2020-05-24,138536.0,178281.0,229858.0,184180.0,344481.0,0.9306611066357321,226501.63076698143,41.95162671906647,107123.97864028317,288173.84104163834
35,2020-05-25,144950.0,178570.0,230158.0,184505.0,353427.0,0.6182590846745474,227486.54029141724,30.936484255021238,112637.95730171408,300410.34603325767
36,2020-05-26,150793.0,179002.0,230555.0,184760.0,362342.0,0.41072331573185555,228447.05905298507,22.813465173846083,118420.0531173122,312869.1127632009
37,2020-05-27,158086.0,179364.0,231139.0,184933.0,370680.0,0.2728526353898085,229382.9100064166,16.823261198493565,124481.68117740977,325529.08312379144
38,2020-05-28,165386.0,179717.0,231732.0,188275.0,379051.0,0.18126205811836282,230293.82951451692,12.405895306216205,130834.57708723526,338367.5013733009
39,2020-05-29,173491.0,180458.0,232248.0,188869.0,387623.0,0.12041639858728431,231179.56719127932,9.148403109234247,137490.78879104767,351360.0321584259
40,2020-05-30,181827.0,181196.0,232664.0,190663.0,396575.0,0.07999527888582372,232039.88597786895,6.746242156539852,144462.66580227428,364480.9037843905
41,2020-05-31,190609.0,181482.0,232997.0,190895.0,405843.0,0.05314263250828836,232874.56262644005,4.9748289815268585,151762.8460869675,377703.07210029423
