India;Germany;Italy
1.867268767195286e-05;0.0018276063148151447;0.0032976014819633853
1.9814376561684937e-05;0.0018484315169880537;0.0033368315132613203
2.0923384873366192e-05;0.0018606365001843815;0.0033661865151662727
2.225405275791391e-05;0.0018743521198077598;0.0034014834150991394
2.3488810250355948e-05;0.001889986007909932;0.0034366959130713824
2.4768325925780638e-05;0.0019077060129827931;0.0034682960071289273
2.6469136879121393e-05;0.0019273562757124408;0.0035014659776540745
2.820404930521084e-05;0.0019386860489153186;0.003533538722691113
3.019756456631116e-05;0.0019481934670633422;0.0035569855873524
3.299104354230776e-05;0.001956334118920225;0.003577596546136728
3.5096099037190244e-05;0.0019645467058450623;0.0035957429676708418
3.764447367780566e-05;0.001975900457403925;0.0036201182538989907
4.003441855960946e-05;0.0019912945619462484;0.003643767683265775
